CustomerId,Surname,CreditScore,CreditScoreTerms,Geography,Gender,Age,Age Group,Tenure,Customer_with_Bank,Balance,Balance_Avaliable,NumOfProducts,Service_Use_bank,HasCrCard,IsActiveMember,EstimatedSalary,Salary_Customer,Exited
15634602,Hargrave,619,Good,France,Female,42,Adult,2,New,0,Zero Amount,1,Low,1,1,101348.88,Good,1
15647311,Hill,608,Good,Spain,Female,41,Adult,1,New,83807.86,Average Amount,1,Low,0,1,112542.58,Good,0
15619304,Onio,502,Good,France,Female,42,Adult,8,old,159660.8,Good,3,Good,1,0,113931.57,Good,1
15701354,Boni,699,Good,France,Female,39,Adult,1,New,0,Zero Amount,2,Average,0,0,93826.63,Good,0
15737888,Mitchell,850,Excelent,Spain,Female,43,Adult,2,New,125510.82,Good,1,Low,1,1,79084.1,Good,0
15574012,Chu,645,Good,Spain,Male,44,Adult,8,old,113755.78,Good,2,Average,1,0,149756.71,Excelent,1
15592531,Bartlett,822,Excelent,France,Male,50,Adult,7,old,0,Zero Amount,2,Average,1,1,10062.8,Low,0
15656148,Obinna,376,Not Good,Germany,Female,29,Adult,4,New,115046.74,Good,4,Excelent,1,0,119346.88,Good,1
15792365,He,501,Good,France,Male,44,Adult,4,New,142051.07,Good,2,Average,0,1,74940.5,Good,0
15592389,H?,684,Good,France,Male,27,Adult,2,New,134603.88,Good,1,Low,1,1,71725.73,Good,0
15767821,Bearce,528,Good,France,Male,31,Adult,6,old,102016.72,Good,2,Average,0,0,80181.12,Good,0
15737173,Andrews,497,Not Good,Spain,Male,24,Adult,3,New,0,Zero Amount,2,Average,1,0,76390.01,Good,0
15632264,Kay,476,Not Good,France,Female,34,Adult,10,old,0,Zero Amount,2,Average,1,0,26260.98,Low,0
15691483,Chin,549,Good,France,Female,25,Adult,5,New,0,Zero Amount,2,Average,0,0,190857.79,Excelent,0
15600882,Scott,635,Good,Spain,Female,35,Adult,7,old,0,Zero Amount,2,Average,1,1,65951.65,Average,0
15643966,Goforth,616,Good,Germany,Male,45,Adult,3,New,143129.41,Good,2,Average,0,1,64327.26,Average,0
15737452,Romeo,653,Good,Germany,Male,58,Senior,1,New,132602.88,Good,1,Low,1,0,5097.67,Low,1
15788218,Henderson,549,Good,Spain,Female,24,Adult,9,old,0,Zero Amount,2,Average,1,1,14406.41,Low,0
15661507,Muldrow,587,Good,Spain,Male,45,Adult,6,old,0,Zero Amount,1,Low,0,0,158684.81,Excelent,0
15568982,Hao,726,Good,France,Female,24,Adult,6,old,0,Zero Amount,2,Average,1,1,54724.03,Average,0
15577657,McDonald,732,Good,France,Male,41,Adult,8,old,0,Zero Amount,2,Average,1,1,170886.17,Excelent,0
15597945,Dellucci,636,Good,Spain,Female,32,Adult,8,old,0,Zero Amount,2,Average,1,0,138555.46,Excelent,0
15699309,Gerasimov,510,Good,Spain,Female,38,Adult,4,New,0,Zero Amount,1,Low,1,0,118913.53,Good,1
15725737,Mosman,669,Good,France,Male,46,Adult,3,New,0,Zero Amount,2,Average,0,1,8487.75,Low,0
15625047,Yen,846,Excelent,France,Female,38,Adult,5,New,0,Zero Amount,1,Low,1,1,187616.16,Excelent,0
15738191,Maclean,577,Good,France,Male,25,Adult,3,New,0,Zero Amount,2,Average,0,1,124508.29,Excelent,0
15736816,Young,756,Good,Germany,Male,36,Adult,2,New,136815.64,Good,1,Low,1,1,170041.95,Excelent,0
15700772,Nebechi,571,Good,France,Male,44,Adult,9,old,0,Zero Amount,2,Average,0,0,38433.35,Average,0
15728693,McWilliams,574,Good,Germany,Female,43,Adult,3,New,141349.43,Good,1,Low,1,1,100187.43,Good,0
15656300,Lucciano,411,Not Good,France,Male,29,Adult,0,New,59697.17,Average Amount,2,Average,1,1,53483.21,Average,0
15589475,Azikiwe,591,Good,Spain,Female,39,Adult,3,New,0,Zero Amount,3,Good,1,0,140469.38,Excelent,1
15706552,Odinakachukwu,533,Good,France,Male,36,Adult,7,old,85311.7,Average Amount,1,Low,0,1,156731.91,Excelent,0
15750181,Sanderson,553,Good,Germany,Male,41,Adult,9,old,110112.54,Good,2,Average,0,0,81898.81,Good,0
15659428,Maggard,520,Good,Spain,Female,42,Adult,6,old,0,Zero Amount,2,Average,1,1,34410.55,Average,0
15732963,Clements,722,Good,Spain,Female,29,Adult,9,old,0,Zero Amount,2,Average,1,1,142033.07,Excelent,0
15794171,Lombardo,475,Not Good,France,Female,45,Adult,0,New,134264.04,Good,1,Low,1,0,27822.99,Low,1
15788448,Watson,490,Not Good,Spain,Male,31,Adult,3,New,145260.23,Good,1,Low,0,1,114066.77,Good,0
15729599,Lorenzo,804,Excelent,Spain,Male,33,Adult,7,old,76548.6,Average Amount,1,Low,0,1,98453.45,Good,0
15717426,Armstrong,850,Excelent,France,Male,36,Adult,7,old,0,Zero Amount,1,Low,1,1,40812.9,Average,0
15585768,Cameron,582,Good,Germany,Male,41,Adult,6,old,70349.48,Average Amount,2,Average,0,1,178074.04,Excelent,0
15619360,Hsiao,472,Not Good,Spain,Male,40,Adult,4,New,0,Zero Amount,1,Low,1,0,70154.22,Good,0
15738148,Clarke,465,Not Good,France,Female,51,Senior,8,old,122522.32,Good,1,Low,0,0,181297.65,Excelent,1
15687946,Osborne,556,Good,France,Female,61,Senior,2,New,117419.35,Good,1,Low,1,1,94153.83,Good,0
15755196,Lavine,834,Excelent,France,Female,49,Adult,2,New,131394.56,Good,1,Low,0,0,194365.76,Excelent,1
15684171,Bianchi,660,Good,Spain,Female,61,Senior,5,New,155931.11,Good,1,Low,1,1,158338.39,Excelent,0
15754849,Tyler,776,Good,Germany,Female,32,Adult,4,New,109421.13,Good,2,Average,1,1,126517.46,Excelent,0
15602280,Martin,829,Excelent,Germany,Female,27,Adult,9,old,112045.67,Good,1,Low,1,1,119708.21,Good,1
15771573,Okagbue,637,Good,Germany,Female,39,Adult,9,old,137843.8,Good,1,Low,1,1,117622.8,Good,1
15766205,Yin,550,Good,Germany,Male,38,Adult,2,New,103391.38,Good,1,Low,0,1,90878.13,Good,0
15771873,Buccho,776,Good,Germany,Female,37,Adult,2,New,103769.22,Good,2,Average,1,0,194099.12,Excelent,0
15616550,Chidiebele,698,Good,Germany,Male,44,Adult,10,old,116363.37,Good,2,Average,1,0,198059.16,Excelent,0
15768193,Trevisani,585,Good,Germany,Male,36,Adult,5,New,146050.97,Good,2,Average,0,0,86424.57,Good,0
15683553,O'Brien,788,Good,France,Female,33,Adult,5,New,0,Zero Amount,2,Average,0,0,116978.19,Good,0
15702298,Parkhill,655,Good,Germany,Male,41,Adult,8,old,125561.97,Good,1,Low,0,0,164040.94,Excelent,1
15569590,Yoo,601,Good,Germany,Male,42,Adult,1,New,98495.72,Average Amount,1,Low,1,0,40014.76,Average,1
15760861,Phillipps,619,Good,France,Male,43,Adult,1,New,125211.92,Good,1,Low,1,1,113410.49,Good,0
15630053,Tsao,656,Good,France,Male,45,Adult,5,New,127864.4,Good,1,Low,1,0,87107.57,Good,0
15647091,Endrizzi,725,Good,Germany,Male,19,Teenager,0,New,75888.2,Average Amount,1,Low,0,0,45613.75,Average,0
15623944,T'ien,511,Good,Spain,Female,66,Senior,4,New,0,Zero Amount,1,Low,1,0,1643.11,veryLow,1
15804771,Velazquez,614,Good,France,Male,51,Senior,4,New,40685.92,Average Amount,1,Low,1,1,46775.28,Average,0
15651280,Hunter,742,Good,Germany,Male,35,Adult,5,New,136857,Good,1,Low,0,0,84509.57,Good,0
15773469,Clark,687,Good,Germany,Female,27,Adult,9,old,152328.88,Good,2,Average,0,0,126494.82,Excelent,0
15702014,Jeffrey,555,Good,Spain,Male,33,Adult,1,New,56084.69,Average Amount,2,Average,0,0,178798.13,Excelent,0
15751208,Pirozzi,684,Good,Spain,Male,56,Senior,8,old,78707.16,Average Amount,1,Low,1,1,99398.36,Good,0
15592461,Jackson,603,Good,Germany,Male,26,Adult,4,New,109166.37,Good,1,Low,1,1,92840.67,Good,0
15789484,Hammond,751,Good,Germany,Female,36,Adult,6,old,169831.46,Good,2,Average,1,1,27758.36,Low,0
15696061,Brownless,581,Good,Germany,Female,34,Adult,1,New,101633.04,Good,1,Low,1,0,110431.51,Good,0
15641582,Chibugo,735,Good,Germany,Male,43,Adult,10,old,123180.01,Good,2,Average,1,1,196673.28,Excelent,0
15638424,Glauert,661,Good,Germany,Female,35,Adult,5,New,150725.53,Good,2,Average,0,1,113656.85,Good,0
15755648,Pisano,675,Good,France,Female,21,Adult,8,old,98373.26,Average Amount,1,Low,1,0,18203,Low,0
15703793,Konovalova,738,Good,Germany,Male,58,Senior,2,New,133745.44,Good,4,Excelent,1,0,28373.86,Low,1
15620344,McKee,813,Excelent,France,Male,29,Adult,6,old,0,Zero Amount,1,Low,1,0,33953.87,Average,0
15812518,Palermo,657,Good,Spain,Female,37,Adult,0,New,163607.18,Good,1,Low,0,1,44203.55,Average,0
15779052,Ballard,604,Good,Germany,Female,25,Adult,5,New,157780.84,Good,2,Average,1,1,58426.81,Average,0
15770811,Wallace,519,Good,France,Male,36,Adult,9,old,0,Zero Amount,2,Average,0,1,145562.4,Excelent,0
15780961,Cavenagh,735,Good,France,Female,21,Adult,1,New,178718.19,Good,2,Average,1,0,22388,Low,0
15614049,Hu,664,Good,France,Male,55,Senior,8,old,0,Zero Amount,2,Average,1,1,139161.64,Excelent,0
15662085,Read,678,Good,France,Female,32,Adult,9,old,0,Zero Amount,1,Low,1,1,148210.64,Excelent,0
15575185,Bushell,757,Good,Spain,Male,33,Adult,5,New,77253.22,Average Amount,1,Low,0,1,194239.63,Excelent,0
15803136,Postle,416,Not Good,Germany,Female,41,Adult,10,old,122189.66,Good,2,Average,1,0,98301.61,Good,0
15706021,Buley,665,Good,France,Female,34,Adult,1,New,96645.54,Average Amount,2,Average,0,0,171413.66,Excelent,0
15663706,Leonard,777,Good,France,Female,32,Adult,2,New,0,Zero Amount,1,Low,1,0,136458.19,Excelent,1
